time (s),T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4
18.29,30.680000,30.680000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
18.50,30.680000,30.680000,30.710000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
18.71,30.680000,30.680000,30.710000,30.660000,30.680000,30.680000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
18.91,30.680000,30.680000,30.710000,30.660000,30.680000,30.680000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
19.13,30.710000,30.680000,30.710000,30.660000,30.680000,30.680000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
19.33,30.710000,30.680000,30.710000,30.660000,30.680000,30.680000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
19.54,30.710000,30.680000,30.710000,30.680000,30.680000,30.680000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
19.76,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
19.96,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.540000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
20.18,30.680000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.540000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
20.38,30.680000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
20.62,30.680000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.660000,-356.580000,-356.660000,0.000,0.000,0.000,0.000
20.81,30.680000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.660000,-356.580000,-356.660000,0.000,0.000,0.000,0.000
21.02,30.680000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.660000,-356.580000,-356.660000,0.000,0.000,0.000,0.000
21.23,30.680000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.580000,-356.660000,0.000,0.000,0.000,0.000
21.43,30.710000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.580000,-356.660000,0.000,0.000,0.000,0.000
21.66,30.710000,30.660000,30.710000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.580000,-356.660000,0.000,0.000,0.000,0.000
21.85,30.710000,30.660000,30.710000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
22.07,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
22.27,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
22.49,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
22.70,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
22.91,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
23.12,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
23.34,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
23.54,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
23.75,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.540000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
23.97,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.540000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
24.17,30.710000,30.680000,30.710000,30.660000,30.710000,30.660000,-356.540000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
